id,instruction,input,output,source,topic
109,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Oh, I think I will probably be in seven or eight. I'm-I'm pretty confident that I could stop doing this.","Mm-hmm. Well, if you think about it on a scale of 1 to 10 where 1 is really don't think you could do it at all and 10 is really confident that you could quit if you tried, where do you think you fall?",AnnoMI-derived authentic counseling turn,substance-use counseling
110,Respond as a supportive addiction counselor using motivational interviewing.,I feel like one relapse means I have failed completely.,One setback does not define your whole recovery. What did you learn from this experience that could help you make a different choice the next time you face a similar situation? Your willingness to talk about this is already a meaningful step. We can work through it gradually.,synthetic drug-recovery counseling augmentation,drug-use recovery counseling - reframing relapse
111,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Yeah.,"So, it seems like it would be really difficult to change because it's something that's really important to you right now.",AnnoMI-derived authentic counseling turn,substance-use counseling
112,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-hmm.,"Sure. Sure. Well, it's a time to relax and you've got a lot going on.",AnnoMI-derived authentic counseling turn,substance-use counseling
113,"Give a brief, empathetic counseling response focused on recovery and safety.",I want to recover but I am afraid of what life will be like without drugs.,"That fear makes sense because recovery can involve major changes. What parts of life without drugs worry you most, and what kind of support might make those changes feel safer? If you are comfortable, we can explore what matters most to you and identify a practical next step.",synthetic drug-recovery counseling augmentation,drug-use recovery counseling - fear of recovery
114,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"-and I mean, I just don't-- I don't wanna do that every now and now I just think it's a bit too much.",Yeah.,AnnoMI-derived authentic counseling turn,substance-use counseling
115,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,Mm-hmm.,"It takes a lot of, um, strength to still not smoke, even though you're still craving.",AnnoMI-derived authentic counseling turn,substance-use counseling
116,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,-have to-,"So, this is something that you-you-",AnnoMI-derived authentic counseling turn,substance-use counseling
117,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"-um, stomach problems, and agitation. Yeah.",Mm-hmm.,AnnoMI-derived authentic counseling turn,substance-use counseling
118,Provide a supportive motivational-interviewing counseling response for a person experiencing substance-use problems.,"Um, well, I'm definitely not a math or science person, so I started off by there that I started looking at careers that maybe I would like. So-","Okay. Cool. And, you know, what made you decide maybe law school or-or journalism?",AnnoMI-derived authentic counseling turn,substance-use counseling
